CWE,NVD_count,Avg_CVSS_V3,min_CVSS_V3,max_CVSS_V3,avg_CVSS_V3_severity,avg_CVSS_V3_exploitability,Sv_cwe,CWE_score
CWE-1021,35,5.800000000000001,1.8,10.0,2.1714285714285713,2.731428571428571,0.48780487804878064,0.409111145872189
CWE-190,860,7.699186046511627,1.8,10.0,2.9953488372093022,3.4077906976744186,0.7194129325014179,15.243604070515984
CWE-918,163,7.844171779141104,1.8,10.0,3.0552147239263805,3.2981595092024536,0.7370941194074517,2.945467374050498
CWE-388,10,6.980000000000001,1.8,10.0,2.6,2.6799999999999997,0.631707317073171,0.1402408942688342
CWE-362,170,6.756470588235294,1.8,10.0,2.623529411764706,1.5129411764705885,0.6044476327116213,2.5197742952211146
CWE-426,174,7.683333333333331,1.8,10.0,2.925287356321839,1.7494252873563223,0.7174796747967478,3.0617657557927322
CWE-113,8,7.2625,1.8,10.0,2.5,3.0749999999999997,0.666158536585366,0.11502490764917518
CWE-640,39,8.67692307692308,1.8,10.0,3.3333333333333335,3.2307692307692313,0.8386491557223269,0.7861042900209279
CWE-327,73,6.808219178082192,1.8,10.0,2.5616438356164384,2.793150684931507,0.6107584363514869,1.084721445912853
CWE-674,68,6.636764705882353,1.8,10.0,2.411764705882353,2.7867647058823537,0.5898493543758968,0.974837364163421
CWE-665,63,6.287301587301588,1.8,10.0,2.380952380952381,2.076190476190477,0.5472319008904376,0.8369111459103881
CWE-401,108,6.212962962962963,1.8,10.0,2.3703703703703702,2.650925925925925,0.5381662149954833,1.4204189690309994
CWE-824,28,7.814285714285715,1.8,10.0,2.9642857142857144,2.6178571428571433,0.7334494773519166,0.48848386503457686
CWE-908,76,6.739473684210527,1.8,10.0,2.460526315789474,2.6657894736842107,0.6023748395378692,1.1144083119225503
CWE-367,26,6.734615384615385,1.8,10.0,2.5384615384615383,1.8692307692307693,0.601782363977486,0.3711040725070831
CWE-59,127,7.08267716535433,1.8,10.0,2.7086614173228347,2.1007874015748036,0.6442289226041866,2.0022901886563274
CWE-835,146,6.752054794520548,1.8,10.0,2.5,3.0232876712328767,0.6039091212829938,2.160010423927827
CWE-354,13,6.946153846153846,1.8,10.0,2.6153846153846154,2.207692307692308,0.6275797373358349,0.18576607913246224
CWE-93,12,6.599999999999999,1.8,10.0,2.3333333333333335,3.166666666666666,0.5853658536585366,0.15883138604449684
CWE-639,60,6.666666666666667,1.8,10.0,2.566666666666667,3.0966666666666667,0.5934959349593497,0.8637459339566265
CWE-909,18,6.722222222222222,1.8,10.0,2.3333333333333335,3.055555555555555,0.6002710027100272,0.2517169966963607
CWE-131,5,7.12,1.8,10.0,2.8,3.4799999999999995,0.6487804878048782,0.06401386164823664
CWE-681,12,7.55,1.8,10.0,2.9166666666666665,3.1833333333333322,0.701219512195122,0.19026676453247018
CWE-829,17,7.782352941176471,1.8,10.0,2.9411764705882355,3.0235294117647054,0.729555236728838,0.28793497256194894
CWE-120,257,8.426070038910506,1.8,10.0,3.217898832684825,2.8054474708171204,0.8080573218183545,5.1026806705845775
CWE-91,23,8.113043478260868,1.8,10.0,3.0,3.0608695652173905,0.7698833510074231,0.4177956024213939
CWE-774,1,7.5,1.8,10.0,3.0,3.9,0.6951219512195123,0.0
CWE-470,7,8.4,1.8,10.0,3.2857142857142856,3.1999999999999997,0.804878048780488,0.11912353953337267
CWE-331,10,7.159999999999999,1.8,10.0,2.9,3.5599999999999996,0.6536585365853659,0.1451141299770176
CWE-427,58,7.475862068965518,1.8,10.0,2.8620689655172415,1.6603448275862074,0.692178301093356,0.9732156675461592
CWE-404,55,7.461818181818183,1.8,10.0,2.890909090909091,2.0672727272727274,0.6904656319290468,0.9197124845626178
CWE-369,56,6.299999999999999,1.8,10.0,2.142857142857143,2.5,0.548780487804878,0.7445221220835789
CWE-345,54,7.011111111111112,1.8,10.0,2.685185185185185,2.761111111111111,0.6355013550135503,0.8308231824301472
CWE-129,76,8.101315789473682,1.8,10.0,3.0921052631578947,2.427631578947369,0.7684531450577663,1.4216572737871849
CWE-264,24,7.704166666666667,1.8,10.0,2.9166666666666665,2.1999999999999997,0.7200203252032521,0.4084969777916823
CWE-1236,46,8.252173913043478,1.8,10.0,3.0652173913043477,2.5565217391304347,0.7868504772004242,0.8734156752348075
CWE-668,43,7.525581395348838,1.8,10.0,2.86046511627907,2.7069767441860466,0.6982416335791266,0.7233879775610094
CWE-116,25,7.284000000000001,1.8,10.0,2.72,3.0399999999999996,0.6687804878048782,0.39592332775819133
CWE-704,113,8.454867256637167,1.8,10.0,3.0,2.6513274336283184,0.811569177638679,2.2421250097565872
CWE-538,6,4.933333333333334,1.8,10.0,2.0,2.716666666666667,0.38211382113821146,0.047127999647041376
CWE-311,106,7.053773584905659,1.8,10.0,2.6037735849056602,2.70754716981132,0.6407040957202024,1.659445733858442
CWE-916,13,7.976923076923076,1.8,10.0,3.1538461538461537,3.2307692307692304,0.7532833020637899,0.2229748304086206
CWE-428,29,7.679310344827588,1.8,10.0,2.896551724137931,1.7862068965517237,0.7169890664423888,0.4952070513168941
CWE-212,3,7.3999999999999995,1.8,10.0,2.6666666666666665,2.1999999999999997,0.6829268292682927,0.033691506130650854
CWE-284,37,7.270270270270272,1.8,10.0,2.72972972972973,2.7702702702702697,0.667106130520765,0.59239814254434
CWE-749,6,7.0,1.8,10.0,2.6666666666666665,3.0,0.6341463414634148,0.07821242494615377
CWE-297,1,8.1,1.8,10.0,3.0,2.2,0.7682926829268293,0.0
CWE-617,54,6.92037037037037,1.8,10.0,2.537037037037037,3.1685185185185194,0.6244354110207769,0.8163561120893235
CWE-330,35,7.268571428571429,1.8,10.0,2.8,3.148571428571429,0.6668989547038329,0.5593133808566926
CWE-459,11,6.281818181818181,1.8,10.0,2.4545454545454546,2.090909090909091,0.5465631929046563,0.13482071852606223
CWE-307,41,8.551219512195123,1.8,10.0,3.3902439024390243,3.5121951219512195,0.8233194527067225,0.8123526913731844
CWE-915,13,8.138461538461538,1.8,10.0,3.1538461538461537,2.3461538461538463,0.7729831144465291,0.22880605262354092
